"symbol","company_name","industry","window_start","open","high","low","close","volume","trade_count","vwap","pe_ttm","eps_ttm","revenue_growth_ttm_yoy","net_profit_margin_ttm","roe_ttm","beta"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:36:00.000","219.02","219.12","218.985","219.12","4769.0","41","219.0301","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:36:00.000","346.48","346.56","346.4","346.51","1269.0","14","346.4766","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:35:00.000","315.26","315.31","315.17","315.25","9120.0","112","315.2576","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:35:00.000","264.06","264.11","264.01","264.07","2538.0","18","264.069","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:35:00.000","483.15","483.23","482.94","482.98","537.0","9","483.1109","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:35:00.000","219.01","219.07","218.99","219.03","3821.0","29","219.031","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:35:00.000","346.27","346.57","346.27","346.57","2039.0","26","346.3595","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:34:00.000","315.22","315.32","315.21","315.275","3950.0","82","315.283","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:34:00.000","264.11","264.12","264.0","264.03","3232.0","28","264.0501","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:34:00.000","483.34","483.4","483.18","483.18","290.0","5","483.3455","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:34:00.000","219.05","219.06","219.0","219.02","1100.0","11","219.0273","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:34:00.000","346.36","346.5","346.36","346.41","906.0","9","346.4144","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:33:00.000","315.27","315.27","315.15","315.19","3440.0","66","315.2038","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:33:00.000","264.28","264.28","264.14","264.18","2200.0","22","264.2005","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:33:00.000","483.11","483.15","483.0","483.15","2597.0","33","483.0181","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:33:00.000","218.9","219.11","218.9","219.05","5250.0","22","219.0457","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:33:00.000","346.11","346.5","346.09","346.36","3977.0","39","346.2398","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:32:00.000","315.22","315.345","315.22","315.26","9966.0","78","315.2872","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:32:00.000","264.72","264.73","264.34","264.34","4658.0","44","264.5622","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:32:00.000","483.4","483.44","483.14","483.2","2557.0","16","483.3743","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:32:00.000","218.92","218.935","218.87","218.93","1500.0","6","218.9153","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:32:00.000","346.32","346.42","346.11","346.17","1736.0","18","346.2659","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:31:00.000","315.13","315.27","315.01","315.235","19018.0","190","315.1795","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:31:00.000","264.72","264.745","264.71","264.72","1000.0","10","264.721","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:31:00.000","483.6","483.6","483.39","483.4","1415.0","17","483.452","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:31:00.000","218.9","219.0","218.9","219.0","1200.0","12","218.9446","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:31:00.000","346.62","346.67","346.44","346.44","2119.0","23","346.6148","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:30:00.000","315.07","315.14","314.95","315.11","3460.0","76","315.0225","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:30:00.000","264.75","264.75","264.685","264.735","3206.0","22","264.7359","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:30:00.000","483.47","483.8","483.47","483.8","891.0","9","483.6254","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:30:00.000","219.03","219.055","218.98","219.04","2810.0","25","219.0151","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:30:00.000","346.94","346.95","346.79","346.95","3795.0","32","346.8335","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:29:00.000","315.01","315.08","314.97","315.06","3028.0","56","315.0065","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:29:00.000","264.59","264.7","264.56","264.7","1800.0","18","264.6589","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:29:00.000","483.74","483.74","483.43","483.43","642.0","8","483.6031","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:29:00.000","219.065","219.065","218.96","219.0","2523.0","19","219.0303","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:29:00.000","346.86","346.9","346.86","346.9","523.0","6","346.8847","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:28:00.000","315.04","315.04","314.94","314.98","3818.0","60","314.9714","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:28:00.000","264.425","264.585","264.425","264.57","6992.0","60","264.5193","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:28:00.000","483.84","483.84","483.64","483.74","531.0","7","483.7292","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
