"symbol","company_name","industry","window_start","close","vwap","volume","current_price","day_open","day_high","day_low","previous_close","percent_change","pe_ttm","eps_ttm","revenue_growth_ttm_yoy","net_profit_margin_ttm","roe_ttm","beta"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:30:00.000","219.04","219.0151","2810.0","217.56","221.67","222.87","216.76","219.74","-0.9921","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:30:00.000","346.95","346.8335","3795.0","351.12","338.89","351.62","335.7","336.87","4.2301","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:29:00.000","315.06","315.0065","3028.0","316.83","310.14","319.2799","309.6","310.03","2.1933","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:29:00.000","264.7","264.6589","1800.0","265.84","260.845","266.4","258.58","259.45","2.4629","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:29:00.000","483.43","483.6031","642.0","484.31","480.065","489.3","479.36","481.63","0.5564","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:29:00.000","219.0","219.0303","2523.0","217.56","221.67","222.87","216.76","219.74","-0.9921","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:29:00.000","346.9","346.8847","523.0","351.12","338.89","351.62","335.7","336.87","4.2301","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:28:00.000","314.98","314.9714","3818.0","316.83","310.14","319.2799","309.6","310.03","2.1933","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:28:00.000","264.57","264.5193","6992.0","265.84","260.845","266.4","258.58","259.45","2.4629","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:28:00.000","483.74","483.7292","531.0","484.31","480.065","489.3","479.36","481.63","0.5564","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
